RT,PUMA,SERIALNO,SPORDER,ADJUST,PWGTP,AGEP,CIT,COW,DDRS,DEYE,DOUT,DPHY,DREM,DWRK,ENG,FER,GCL,GCM,GCR,INTP,JWMN,JWRIP,JWTR,LANX,MAR,MIG,MIL,MILY,MLPA,MLPB,MLPC,MLPD,MLPE,MLPF,MLPG,MLPH,MLPI,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,REL,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,YOEP,UWRK,ANC,ANC1P,ANC2P,DS,ESP,ESR,HISP,INDP,JWDP,LANP,MIGSP,MSP,NAICSP,OC,OCCP,PAOC,PERNP,PINCP,POBP,POVPIP,POWSP,RAC1P,RAC2P,RAC3P,RACAIAN,RACASN,RACBLK,RACNHPI,RACNUM,RACSOR,RACWHT,RC,SFN,SFR,SOCP,VPS,FAGEP,FANCP,FCITP,FCOWP,FDDRSP,FDEYEP,FDOUTP,FDPHYP,FDREMP,FDWRKP,FENGP,FESRP,FFERP,FGCLP,FGCMP,FGCRP,FHISP,FINDP,FINTP,FJWDP,FJWMNP,FJWRIP,FJWTRP,FLANP,FLANXP,FMARP,FMIGP,FMIGSP,FMILPP,FMILSP,FMILYP,FOCCP,FOIP,FPAP,FPOBP,FPOWSP,FRACP,FRELP,FRETP,FSCHGP,FSCHLP,FSCHP,FSEMP,FSEXP,FSSIP,FSSP,FWAGP,FWKHP,FWKLP,FWKWP,FYOEP
P,00002,222,01,1009555,0047,25,1,3,2,2,2,2,2,2, ,2,2, , ,000000,005,02,01,2,5,1,4, , , , , , , , , , , , , , , ,000000,00000,00,000000,1, ,9,000000,2,00000,00000,036000,40,1,50,,1,1,011,207,2, ,1,01,947,051, , ,6,92MP,0,570,4,0036000,0036000,002,390,02,1,01,47,0,0,0,0,1,0,1,0, , ,436010, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,222,02,1009555,0039,25,1,3,2,2,2,2,2,2, , ,2, , ,000000,005,02,01,2,5,1,4, , , , , , , , , , , , , , , ,000000,00000,10,000000,1, ,11,000000,1,00000,00000,025000,40,1,52,,1,1,047,207,2, ,1,01,938,051, , ,6,92113,0,512, ,0025000,0025000,002,271,02,1,01,47,0,0,0,0,1,0,1,0, , ,433031, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,300,01,1009555,0064,48,1, ,2,2,2,2,2,2, ,2,2, , ,007500,,, ,2,1,1,4, , , , , , , , , , ,2, ,2,2, ,000000,00000,00,000000,1, ,9,000000,2,00000,00000,000000,,3,,,2,2,025,029,2, ,6,01, , , , ,1, ,0, ,4,0000000,0007500,003,169, ,1,01,47,0,0,0,0,1,0,1,0, , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,300,02,1009555,0050,56,1,6,2,2,2,2,2,2, , ,2, , ,011100,,, ,2,1,1,2,1,0,0,0,0,1,0,0,0,0,2, ,2,2, ,000000,00000,01,000000,1, ,7,001500,1,00000,00000,000000,40,1,02,,2,1,011,207,2, ,6,01,077, , , ,1,23,0,623, ,0001500,0012600,023,169, ,1,01,47,0,0,0,0,1,0,1,0, , ,472031,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
P,00002,357,01,1009555,0044,39,1,5,2,2,2,2,2,2, , ,2, , ,000050,017,01,01,2,5,3,1,2,1,1,1,0,0,0,0,0,0, , , , , ,000000,00000,00,000000,1, ,10,000000,1,00000,00000,047000,50,1,52,,1,1,204,207,2, ,4,01,968,033, ,002,6,928110P2,0,980, ,0047000,0047050,024,501,02,1,01,47,0,0,0,0,1,0,1,0, , ,551000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,623,01,1009555,0042,39,1,2,2,2,2,2,2,2, , ,2, , ,020000,015,01,01,2,1,1,4, , , , , , , , , , , , , , , ,000000,00000,00,000000,1, ,9,127000,1,00000,00000,195000,40,1,52,,1,4,207,207,2, ,1,01,919,043, , ,1,8139Z,0,001, ,0322000,0342000,002,501,02,1,01,47,0,0,0,0,1,0,1,0, , ,111011, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,623,02,1009555,0037,39,1,1,2,2,2,2,2,2, ,2,2, , ,000000,045,01,01,2,1,3,4, , , , , , , , , , , , , , , ,000000,00000,01,000000,1, ,9,000000,2,00000,00000,287000,40,1,52,,1,4,207,207,2, ,1,01,729,061, ,002,1,5413,0,002,2,0287000,0287000,002,501,02,1,01,47,0,0,0,0,1,0,1,0, , ,111021, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,623,03,1009555,0025,17,1,1,2,2,2,2,2,2, , ,2, , ,000000,,, ,2,5,3,4, , , , , , , , , , , ,3, ,2, ,000000,00000,02,000000,2,5,6,000000,1,00000,00000,001000,20,1,08,,2,4,207,207,2,1,6,01,077, , ,002,6,23,1,626, ,0001000,0001000,002,501, ,1,01,47,0,0,0,0,1,0,1,1, , ,472061, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,623,04,1009555,0042,11,1, ,2,2, ,2,2, , , , , , ,,,, ,2,5,3, , , , , , , , , , , , , , , , ,,,02,,2,4,3,,2,,,,, ,,, ,4,207,207,2,1, ,01, , , ,002, , ,1, , ,,,002,501, ,1,01,47,0,0,0,0,1,0,1,1, , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,623,05,1009555,0036,06,1, ,2,2, ,2,2, , , , , , ,,,, ,2,5,3, , , , , , , , , , , , , , , , ,,,02,,2,3,2,,1,,,,, ,,, ,4,207,207,2,1, ,01, , , ,002, , ,1, , ,,,002,501, ,1,01,47,0,0,0,0,1,0,1,1, , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
