sporder,RT,PUMA,SERIALNO,ADJUST,PWGTP,AGEP,CIT,COW,DDRS,DEYE,DOUT,DPHY,DREM,DWRK,ENG,FER,GCL,GCM,GCR,INTP,JWMNP,JWRIP,JWTR,LANX,MAR,MIG,MIL,MILY,MLPA,MLPB,MLPC,MLPD,MLPE,MLPF,MLPG,MLPH,MLPI,MLPJ,MLPK,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,REL,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,YOEP,UWRK,ANC,ANC1P,ANC2P,DS,ESP,ESR,HISP,INDP,JWDP,LANP,MIGSP,MSP,NAICSP,OC,OCCP,PAOC,PERNP,PINCP,POBP,POVPIP,POWSP,RAC1P,RAC2P,RAC3P,RACAIAN,RACASN,RACBLK,RACNHPI,RACNUM,RACSOR,RACWHT,RC,SFN,SFR,SOCP,VPS,FAGEP,FANCP,FCITP,FCOWP,FDDRSP,FDEYEP,FDOUTP,FDPHYP,FDREMP,FDWRKP,FENGP,FESRP,FFERP,FGCLP,FGCMP,FGCRP,FHISP,FINDP,FINTP,FJWDP,FJWMNP,FJWRIP,FJWTRP,FLANP,FLANXP,FMARP,FMIGP,FMIGSP,FMILPP,FMILSP,FMILYP,FOCCP,FOIP,FPAP,FPOBP,FPOWSP,FRACP,FRELP,FRETP,FSCHGP,FSCHLP,FSCHP,FSEMP,FSEXP,FSSIP,FSSP,FWAGP,FWKHP,FWKLP,FWKWP,FYOEP
1,P,02000,14,1013394,0038,44,1,5,2,2,2,2,2,2,,,2,,,000500,030,01,01,2,1,1,5,,,,,,,,,,,,,3,5,3,3,3,000000,00000,00,000000,1,,13,000000,1,00000,00000,108000,55,1,52,,1,1,087,999,2,,1,01,9470,049,,,1,92MP,0,3820,,0108000,0108500,019,501,002,1,01,47,0,0,0,0,1,0,1,0,,,333021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,P,02000,14,1013394,0033,43,1,3,2,2,2,2,2,2,,2,2,,,000000,,,,2,1,1,5,,,,,,,,,,,,,2,1,2,2,3,000000,00000,01,000000,1,,13,000000,2,00000,00000,000000,,2,,,2,1,176,999,2,,6,01,9370,,,,1,9211MP,0,2150,2,0000000,0000000,056,501,,1,01,47,0,0,0,0,1,0,1,0,,,232090,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,P,02000,14,1013394,0041,10,1,,2,2,,2,2,,,,,,,,,,,2,5,1,,,,,,,,,,,,,,,,,,,,,02,,2,4,2,,2,,,,,,,,,2,087,176,2,2,,01,,,,,,,1,,,,,016,501,,1,01,47,0,0,0,0,1,0,1,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,P,02000,14,1013394,0041,07,1,,2,2,,2,2,,,,,,,,,,,2,5,1,,,,,,,,,,,,,,,,,,,,,02,,2,3,2,,2,,,,,,,,,2,087,176,2,2,,01,,,,,,,1,,,,,016,501,,1,01,47,0,0,0,0,1,0,1,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,P,02000,340,1013394,0124,63,1,6,2,2,2,2,2,2,,,2,,,001500,,,,2,3,1,3,2,0,0,0,0,0,0,1,0,0,0,0,2,5,2,2,3,000000,00000,00,000000,1,,9,032200,1,00000,00000,000000,40,1,24,,2,1,112,999,2,,6,01,0770,,,,4,23,0,6230,,0032200,0033700,031,353,,1,01,47,0,0,0,0,1,0,1,0,,,472031,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,P,02000,612,1013394,0034,42,1,1,2,2,2,2,2,2,,,2,,,001200,010,01,01,2,1,1,5,,,,,,,,,,,,,3,5,3,3,3,000000,00000,00,000000,1,,12,000000,1,00000,00000,060000,40,1,51,,1,1,939,999,2,,1,01,4290,043,,,1,4239Z,0,4850,,0060000,0061200,053,429,002,1,01,47,0,0,0,0,1,0,1,0,,,414010,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,P,02000,612,1013394,0030,38,1,6,2,2,2,2,2,2,,2,2,,,001200,010,01,01,2,1,1,4,,,,,,,,,,,,,3,1,3,1,3,000000,00000,01,000000,1,,11,001100,2,00000,00000,000000,40,1,40,,1,1,939,999,2,,1,01,8470,055,,,1,6244,0,4600,2,0001100,0002300,053,429,002,1,01,47,0,0,0,0,1,0,1,0,,,399011,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,P,02000,612,1013394,0036,10,1,,2,2,,2,2,,,,,,,,,,,2,5,1,,,,,,,,,,,,,,,,,,,,,02,,2,3,2,,2,,,,,,,,2,1,939,999,2,1,,01,,,,,,,1,,,,,002,429,,1,01,47,0,0,0,0,1,0,1,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,P,02000,665,1013394,0063,56,1,3,2,2,2,2,2,2,,,2,,,001500,070,02,01,2,1,1,5,,,,,,,,,,,,,3,5,3,3,3,000000,00000,00,000000,1,,13,000000,1,00000,00000,054000,40,1,52,,1,1,032,999,2,,1,01,7860,037,,,1,6111,0,5150,,0054000,0055500,036,501,002,1,01,47,0,0,0,0,1,0,1,0,,,433061,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,P,02000,665,1013394,0060,55,1,1,2,2,2,2,2,2,,,2,,,001500,005,01,01,2,1,1,5,,,,,,,,,,,,,3,5,3,3,3,000000,00000,01,000000,1,,11,000000,2,00000,00000,035000,40,1,52,,1,2,032,011,2,,1,01,8660,030,,,1,7211,0,5120,4,0035000,0036500,036,501,002,1,01,47,0,0,0,0,1,0,1,0,,,433031,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
