sporder,RT,PUMA,SERIALNO,oldspord,ADJUST,PWGTP,AGEP,CIT,COW,DDRS,DEYE,DOUT,DPHY,DREM,DWRK,ENG,FER,GCL,GCM,GCR,INTP,JWMNP,JWRIP,JWTR,LANX,MAR,MIG,MIL,MILY,MLPA,MLPB,MLPC,MLPD,MLPE,MLPF,MLPG,MLPH,MLPI,MLPJ,MLPK,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,REL,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,YOEP,UWRK,ANC,ANC1P,ANC2P,DS,ESP,ESR,HISP,INDP,JWDP,LANP,MIGSP,MSP,NAICSP,OC,OCCP,PAOC,PERNP,PINCP,POBP,POVPIP,POWSP,RAC1P,RAC2P,RAC3P,RACAIAN,RACASN,RACBLK,RACNHPI,RACNUM,RACSOR,RACWHT,RC,SFN,SFR,SOCP,VPS,FAGEP,FANCP,FCITP,FCOWP,FDDRSP,FDEYEP,FDOUTP,FDPHYP,FDREMP,FDWRKP,FENGP,FESRP,FFERP,FGCLP,FGCMP,FGCRP,FHISP,FINDP,FINTP,FJWDP,FJWMNP,FJWRIP,FJWTRP,FLANP,FLANXP,FMARP,FMIGP,FMIGSP,FMILPP,FMILSP,FMILYP,FOCCP,FOIP,FPAP,FPOBP,FPOWSP,FRACP,FRELP,FRETP,FSCHGP,FSCHLP,FSCHP,FSEMP,FSEXP,FSSIP,FSSP,FWAGP,FWKHP,FWKLP,FWKWP,FYOEP
01,P,02000,211,01,1015841,0068,30,1,1,2,2,2,1,1,2,,,2,,,000900,015,01,01,2,5,1,5,,,,,,,,,,,,,3,5,3,3,3,000000,00000,00,000000,1,,9,000000,1,00000,00000,035800,40,1,50,,1,2,050,032,1,,1,01,0770,037,,,6,23,0,6350,,0035800,0036700,002,374,002,1,01,47,0,0,0,0,1,0,1,0,,,472111,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,P,02000,211,02,1015841,0068,32,1,1,2,2,2,1,1,1,,,2,,,001100,015,01,01,2,5,1,5,,,,,,,,,,,,,3,5,3,3,3,000000,00000,08,000000,1,,9,000000,1,00000,00000,060000,50,1,45,,1,4,999,999,1,,1,01,0770,037,,,6,23,0,6360,,0060000,0061100,002,501,002,1,01,47,0,0,0,0,1,0,1,0,,,472121,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0
01,P,02000,253,01,1015841,0074,45,1,3,2,2,1,1,2,1,,2,2,,,000000,,,,2,4,1,3,2,0,0,1,0,0,0,0,0,0,0,0,2,5,2,2,3,000000,04300,00,000000,1,,13,000000,2,06100,00000,000000,,2,,,2,1,032,999,1,,6,01,7860,,,,5,6111,0,2310,4,0000000,0010400,006,106,,9,65,66,1,0,0,0,2,0,1,0,,,252020,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,P,02000,398,01,1015841,0025,61,1,1,2,2,2,2,2,2,,,2,,,000000,015,01,01,2,1,1,3,2,0,0,0,0,0,1,0,0,0,0,0,3,5,3,3,3,000000,00000,00,000000,1,,13,000000,1,00000,00000,063000,40,1,52,,1,2,026,032,2,,1,01,6680,016,,,1,5171,0,1540,,0063000,0063000,039,501,002,1,01,47,0,0,0,0,1,0,1,0,,,173010,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,P,02000,398,02,1015841,0036,60,1,,2,2,2,2,2,2,,,2,,,000000,,,,2,1,1,5,,,,,,,,,,,,,2,5,2,2,2,000000,00000,01,000000,1,,12,000000,2,00000,00000,000000,,3,,,2,1,097,999,2,,6,01,,,,,1,,0,,4,0000000,0000000,056,501,,1,01,47,0,0,0,0,1,0,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03,P,02000,398,03,1015841,0058,20,1,,2,2,1,2,1,1,,2,2,,,000000,,,,2,5,1,5,,,,,,,,,,,,,2,5,2,2,3,012000,00000,02,000000,2,5,7,000000,2,00000,00000,000000,,3,,,2,1,195,999,1,,6,01,,,,,6,,0,,4,0000000,0012000,002,501,,1,01,47,0,0,0,0,1,0,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,P,02000,573,01,1015841,0039,46,1,1,2,2,2,2,2,2,,2,2,,,000000,040,01,01,2,1,1,5,,,,,,,,,,,,,3,5,3,3,3,000000,00000,00,000000,1,,9,000000,2,00000,00000,033300,40,1,52,,1,1,939,999,2,,1,01,6280,019,,,1,487,0,5620,4,0033300,0033300,029,501,002,1,01,47,0,0,0,0,1,0,1,0,,,435081,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,P,02000,573,02,1015841,0042,49,1,1,2,2,2,2,2,2,,,2,,,000000,020,01,01,2,1,1,3,2,0,1,1,1,1,0,0,0,0,0,0,3,5,3,3,3,000000,00000,01,014200,1,,9,000000,1,00000,00000,072000,40,1,52,,1,1,939,999,2,,1,01,6290,061,,,1,488,0,1550,,0072000,0086200,029,501,002,1,01,47,0,0,0,0,1,0,1,0,,,173020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03,P,02000,573,03,1015841,0040,28,1,5,2,2,2,2,2,2,,,2,,,000000,,,,2,5,1,3,2,0,1,0,0,0,0,0,0,0,0,0,2,5,2,2,3,000000,00000,02,000000,1,,11,000000,1,00000,00000,000000,,2,,,2,1,939,999,2,,6,01,9770,,,,6,928110P4,0,9830,,0000000,0000000,029,501,,1,01,47,0,0,0,0,1,0,1,0,,,559830,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,P,02000,734,01,1015841,0033,42,1,1,2,2,2,2,2,2,,,2,,,000250,015,01,01,2,1,3,3,2,1,1,1,0,0,0,0,0,0,0,0,3,5,3,3,3,004200,00000,00,009800,1,,11,000000,1,00000,00000,012400,40,1,40,,1,2,082,021,2,,1,01,4880,025,,051,1,44413,0,4760,,0012400,0026650,009,213,002,1,01,47,0,0,0,0,1,0,1,0,,,412031,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
